CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,40.900749,0.818182,95.4,0,95.4,0,0.166667,0,0.083333,0,0,2,1000,201.802084,139.509787,0,12
C10002,3202.467416,0.909091,0,0,0,6442.945483,0,0,0,0.25,4,0,7000,4103.032597,1072.340217,0.222222,12
C10003,2495.148862,1,773.17,773.17,0,0,1,1,0,0,0,12,7500,622.066742,627.284787,0,12
C10004,1666.670542,0.636364,1499,1499,0,205.788017,0.083333,0.083333,0,0.083333,1,1,7500,0,,0,12
C10005,817.714335,1,16,16,0,0,0.083333,0.083333,0,0,0,1,1200,678.334763,244.791237,0,12
C10006,1809.828751,1,1333.28,0,1333.28,0,0.666667,0,0.583333,0,0,8,1800,1400.05777,2407.246035,0,12
C10007,627.260806,1,7091.01,6402.63,688.38,0,1,1,1,0,0,64,13500,6354.314328,198.065894,1,12
C10008,1823.652743,1,436.2,0,436.2,0,1,0,1,0,0,12,2300,679.065082,532.03399,0,12
C10009,1014.926473,1,861.49,661.49,200,0,0.333333,0.083333,0.25,0,0,5,7000,688.278568,311.963409,0,12
C10010,152.225975,0.545455,1281.6,1281.6,0,0,0.166667,0.166667,0,0,0,3,11000,1164.770591,100.302262,0,12
C10011,1293.124939,1,920.12,0,920.12,0,1,0,1,0,0,12,1200,1083.301007,2172.697765,0,12
C10012,630.794744,0.818182,1492.18,1492.18,0,0,0.25,0.25,0,0,0,6,2000,705.618627,155.549069,0,12
C10013,1516.92862,1,3217.99,2500.23,717.76,0,1,0.25,0.916667,0,0,26,3000,608.263689,490.207013,0.25,12
C10014,921.693369,1,2137.93,419.96,1717.97,0,0.75,0.166667,0.75,0,0,26,7500,1655.891435,251.137986,0.083333,12
C10015,2772.772734,1,0,0,0,346.81139,0,0,0,0.083333,1,0,3000,805.647974,989.962866,0,12
C10016,6886.213231,1,1611.7,0,1611.7,2301.491267,0.5,0,0.5,0.166667,4,11,8000,1993.439277,2109.90649,0,12
C10017,2072.074354,0.875,0,0,0,2784.274703,0,0,0,0.25,3,0,3000,391.974562,376.579631,0,8
C10018,41.089489,0.454545,519,0,519,0,0.416667,0,0.333333,0,0,8,2500,254.590662,73.203221,0.25,12
C10019,1989.072228,1,504.35,166,338.35,0,0.666667,0.083333,0.583333,0,0,9,13000,1720.837373,744.613395,0,12
C10020,3577.970933,1,398.64,0,398.64,0,1,0,1,0,0,12,4000,1053.980464,12465.54938,0,12
C10021,2016.684686,1,176.68,0,176.68,0,0.666667,0,0.666667,0,0,8,2000,223.0686,13557.29726,0,12
C10022,6369.531318,1,6359.95,5910.04,449.91,229.028245,1,0.916667,1,0.333333,6,92,11250,2077.959051,1659.775075,0,12
C10023,132.34224,0.636364,815.9,0,815.9,0,1,0,1,0,0,17,1800,2359.629958,86.329554,0,12
C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1,0.083333,0.916667,0.333333,13,13,9000,9479.043842,1425.426525,0,12
C10025,5368.571219,1,0,0,0,798.949863,0,0,0,0.363636,4,0,6000,1422.726707,1657.002877,0,11
C10026,169.781679,1,399.6,0,399.6,0,1,0,1,0,0,12,3000,215.306142,163.005536,0,12
C10027,1615.96724,1,102,102,0,244.840485,0.166667,0.166667,0,0.25,5,2,1700,890.178845,971.183209,0,12
C10028,125.694817,1,233.28,0,233.28,0,1,0,1,0,0,12,1000,207.773715,164.748819,0,12
C10029,7152.864372,1,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500,1601.448347,1648.851345,0,12
C10030,22.06349,1,100,0,100,0,0.416667,0,0.416667,0,0,5,6900,160.767773,159.684442,0,12
C10031,12136.21996,1,3038.01,1013.2,2024.81,3183.583301,1,0.166667,1,0.5,10,64,13000,4230.323491,3292.01503,0,12
C10032,1162.273324,1,1347.71,400,947.71,175.815755,1,0.083333,1,0.166667,2,45,6000,645.998299,256.848991,0,12
C10033,6732.823064,1,324.95,324.95,0,1189.533753,0.083333,0.083333,0,0.166667,3,3,10500,1720.118876,2506.745366,0,12
C10034,125.660453,1,636.79,636.79,0,0,0.916667,0.916667,0,0,0,11,1200,423.449696,196.301885,0.3,12
C10035,3517.101616,0.727273,547.28,0,547.28,0,1,0,1,0,0,14,11000,8735.607835,17862.55831,0,12
C10036,1656.350781,1,0,0,0,99.264367,0,0,0,0.083333,1,0,1800,351.500199,634.569311,0,12
C10037,7427.076941,1,0,0,0,8873.375046,0,0,0,0.727273,11,0,9000,1636.361601,1986.843608,0,11
C10038,4047.480828,1,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000,1617.894416,1541.141605,0,12
C10039,6269.418144,1,204,204,0,2925.699862,0.083333,0.083333,0,0.333333,12,2,9000,1237.111661,2049.408839,0,12
C10040,1411.60223,0.454545,963.24,963.24,0,6173.682877,0.083333,0.083333,0,0.333333,6,6,7500,20071.07544,719.948985,0.333333,12
C10041,663.44781,0.727273,0,0,0,3133.063934,0,0,0,0.25,3,0,1800,3067.05783,283.333445,0.166667,12
C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000,1262.309666,363.142736,0.111111,12
C10044,4104.710798,1,203.82,203.82,0,0,0.083333,0.083333,0,0,0,1,4500,868.275275,1801.264841,0,12
C10045,1360.742377,1,0,0,0,1481.587093,0,0,0,0.083333,1,0,1500,378.294227,321.354137,0,12
C10046,5315.945594,1,1525.44,469.8,1055.64,0,1,0.333333,1,0,0,20,8500,1430.341501,1318.71492,0,12
C10047,2242.311686,1,437,97,340,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400,0,,0,12
C10048,474.447149,0.5,109.74,0,109.74,1013.659552,0.375,0,0.25,0.125,1,3,1700,176.013005,147.199792,0,8
C10049,3910.111237,1,0,0,0,1980.873201,0,0,0,0.5,7,0,4200,0,,0,12
C10050,229.867179,1,2390.6,1402.93,987.67,0,1,0.666667,1,0,0,87,3300,2543.953559,175.657825,0.916667,12
C10051,863.809833,1,507.5,507.5,0,695.097159,0.166667,0.166667,0,0.083333,2,3,4000,587.866451,286.448719,0.083333,12
C10052,4931.331857,1,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000,8113.297346,1012.415961,0,8
C10053,1078.888565,1,3107.85,2221.74,886.11,0,0.666667,0.583333,0.5,0,0,18,2500,1399.82834,1322.446601,0,12
C10054,1565.681099,1,0,0,0,321.359135,0,0,0,0.25,3,0,3500,691.825279,581.481917,0,12
C10055,464.674156,0.888889,1979.22,1979.22,0,1981.265503,0.666667,0.666667,0,0.111111,1,11,3000,3110.052742,132.446091,0.2,9
C10056,6.660517,0.636364,310,0,310,0,0.666667,0,0.666667,0,0,8,1000,417.016763,,0,12
C10057,1311.995984,1,1283.9,1283.9,0,0,0.25,0.25,0,0,0,6,6000,0,,0,12
C10058,3625.218146,1,313.27,313.27,0,668.468743,0.25,0.25,0,0.416667,5,4,4000,0,,0,12
C10059,2386.330629,1,5217.62,4789.09,428.53,0,0.916667,0.916667,0.5,0,0,42,7500,5678.729613,1311.514878,0.083333,12
C10060,3971.138765,1,0,0,0,224.575517,0,0,0,0.181818,3,0,4000,764.938728,1600.212243,0,11
C10061,5493.90406,1,229,0,229,970.591332,0.416667,0,0.333333,0.333333,4,6,6000,2110.557023,1895.02617,0,12
C10062,1879.114033,0.727273,113,113,0,0,0.166667,0.166667,0,0,0,2,6500,3509.686561,548.105836,0,12
C10063,1555.793701,1,66.2,66.2,0,0,0.083333,0.083333,0,0,0,1,1600,338.083661,837.215674,0,12
C10064,809.582978,0.909091,0,0,0,3819.672466,0,0,0,0.545455,7,0,4150,4372.148648,241.645387,0.090909,11
C10065,7.152356,0.090909,840,840,0,0,0.083333,0.083333,0,0,0,1,1600,0,,0,12
C10067,1923.886805,1,1887.64,0,1887.64,1605.949371,1,0,1,0.083333,4,61,1850,3688.045998,3266.996777,0.083333,12
C10068,1758.059987,1,412.33,325.21,87.12,0,0.583333,0.333333,0.166667,0,0,11,1800,777.451648,897.905444,0,12
C10069,809.847455,0.875,0,0,0,908.423608,0,0,0,0.125,1,0,1500,146.074769,179.412493,0,8
C10070,1576.305029,1,0,0,0,382.908547,0,0,0,0.416667,6,0,2500,540.022225,352.883804,0,12
C10071,3990.523579,1,263.5,190.6,72.9,0,0.666667,0.083333,0.583333,0,0,8,6000,6876.836205,1001.607366,0.083333,12
C10072,1699.435486,1,1363.69,1363.69,0,0,0.333333,0.333333,0,0,0,4,1700,1623.816348,923.505868,0,12
C10073,5487.683724,1,419.1,0,419.1,625.399386,0.916667,0,0.833333,0.333333,4,11,6250,1288.214909,2180.881868,0,12
C10074,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27,33,7000,28232.69446,1107.030803,0.454545,12
C10075,656.01301,1,0,0,0,1474.349901,0,0,0,0.125,3,0,7000,910.457985,140.983193,0.25,8
C10077,1808.972419,1,713.9,503.08,210.82,0,0.5,0.1,0.4,0,0,8,2250,889.017418,622.757696,0,10
C10078,532.334517,0.909091,791.94,516.64,275.3,0,0.272727,0.090909,0.181818,0,0,7,6000,1305.177304,175.510344,0,11
C10079,5860.433624,1,561.87,249.5,312.37,0,0.833333,0.166667,0.75,0,0,14,6000,1990.044998,2161.428274,0,12
C10080,1727.638449,1,606.11,606.11,0,0,1,1,0,0,0,17,11000,2959.920544,623.656993,0,12
C10081,578.809679,1,320,0,320,0,0.75,0,0.666667,0,0,8,1500,1438.910569,190.186542,0,12
C10082,1205.716678,1,0,0,0,38.325801,0,0,0,0.083333,1,0,1200,29.278671,8242.687678,0,12
C10083,6593.820644,1,388.66,388.66,0,4621.93458,0.583333,0.583333,0,0.416667,7,7,7000,1624.583114,2503.40234,0,12
C10084,17.357563,0.909091,244.85,40.21,204.64,0,0.666667,0.166667,0.583333,0,0,13,5000,357.802082,121.523416,0.181818,12
C10085,81.584711,0.272727,0,0,0,2985.300006,0,0,0,0.166667,5,0,9500,116.569033,164.692136,0,12
C10086,3.78631,0.636364,133.05,28.2,104.85,0,0.416667,0.166667,0.25,0,0,5,12000,210.053432,99.533735,0.444444,12
C10087,42.46443,0.545455,396,0,396,0,0.5,0,0.416667,0,0,12,1200,725.606194,140.809454,1,12
C10088,1935.362486,1,4915.6,4515.34,400.26,293.844792,1,1,0.333333,0.083333,1,50,9000,4921.066897,594.756686,0,12
C10089,134.917202,1,1247.8,1247.8,0,0,1,1,0,0,0,22,16500,1275.229436,171.357189,1,12
C10090,7069.950386,1,1603.78,1445.14,158.64,5626.004046,1,0.833333,1,0.75,23,23,11000,4589.873897,1876.262988,0,12
C10092,8181.251131,1,2258.01,1318.78,939.23,5251.228934,1,0.75,1,0.75,21,60,13500,3021.575846,2074.581541,0,12
C10093,4037.305658,1,45,45,0,104.238064,0.083333,0.083333,0,0.083333,1,1,4500,1073.844885,968.941265,0,12
C10094,6110.265264,1,0,0,0,2717.253917,0,0,0,0.416667,14,0,6500,1502.205631,2864.380327,0,12
C10095,9381.255094,1,5100.07,1147.83,3952.24,370.737197,1,0.25,0.916667,0.083333,1,46,9000,6409.496345,9827.045323,0,12
C10096,1977.00709,1,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4000,3056.424974,910.707525,0.090909,11
C10097,1321.47608,1,45.65,45.65,0,495.657934,0.083333,0.083333,0,0.083333,1,1,1800,440.840439,312.560636,0,12
C10098,1307.717841,1,405.6,405.6,0,0,0.166667,0.166667,0,0,0,2,2400,0,,0,12
C10099,2329.485768,1,213.34,213.34,0,0,0.25,0.25,0,0,0,3,2400,0,,0,12
C10100,1139.782882,1,0,0,0,120.612912,0,0,0,0.083333,1,0,1200,151.823651,2906.110765,0,12
C10101,1619.955708,1,739.44,739.44,0,0,0.666667,0.666667,0,0,0,11,6000,417.128532,389.138517,0,12
C10102,3505.671311,1,0,0,0,1713.984305,0,0,0,0.5,6,0,4000,0,,0,12
C10103,4.708041,0.363636,79,0,79,0,0.25,0,0.166667,0,0,3,7000,217.820198,121.781205,1,12
C10104,0,0,0,0,0,89.849004,0,0,0,0.142857,1,0,3000,138.021428,,0,7
C10105,4.875885,0.666667,20,20,0,0,0.111111,0.111111,0,0,0,1,1500,26.487919,60.913577,0,9
C10106,23.394411,0.272727,1346.28,0,1346.28,0,1,0,1,0,0,12,2000,712.149153,54.79166,0,12
C10107,3539.801912,1,2823.8,1540.41,1283.39,0,0.916667,0.916667,0.833333,0,0,75,5700,9172.788366,2103.796148,0.083333,12
C10108,0.62424,0.090909,389.96,0,389.96,0,1,0,1,0,0,31,4500,0,,0,12
C10109,862.07238,1,0,0,0,920.309805,0,0,0,0.083333,1,0,4000,2236.890255,214.828158,0.083333,12
C10110,2441.542991,1,808,808,0,959.857263,0.25,0.25,0,0.333333,6,4,4000,532.741699,1026.976,0,12
C10111,408.656365,1,941.64,0,941.64,0,1,0,1,0,0,12,2500,1097.78942,176.610605,0.083333,12
C10112,4986.400804,1,0,0,0,5439.467563,0,0,0,0.583333,40,0,8000,1241.538024,1439.230899,0,12
C10113,1246.624558,1,423.7,177.64,246.06,412.399058,0.666667,0.166667,0.5,0.083333,2,10,2000,577.050373,498.365419,0,12
C10114,6644.201651,1,4478.75,2721.59,1757.16,7205.520805,1,0.916667,1,0.583333,21,64,9000,10857.94321,2469.571326,0.083333,12
C10115,156.216753,0.818182,1354.86,585.63,769.23,0,0.916667,0.333333,0.833333,0,0,34,5500,858.976682,108.319927,0,12
C10116,3393.351236,1,0,0,0,1008.348672,0,0,0,0.083333,2,0,4200,0,,0,12
C10117,5322.994094,1,2812.2,857.12,1955.08,2510.352951,1,0.25,1,0.333333,8,81,8500,1509.423237,1834.031569,0,12
C10118,6458.56209,1,0,0,0,3360.228794,0,0,0,0.25,11,0,7000,1277.76778,2760.115734,0,12
C10119,175.341651,0.818182,1508.9,1252.36,256.54,0,0.666667,0.416667,0.333333,0,0,14,5000,1884.227778,136.639824,1,12
C10120,680.195157,1,1045.57,667.95,377.62,0,1,0.583333,1,0,0,25,3000,552.432305,207.720441,0,12
C10121,223.763616,0.636364,2309.78,0,2309.78,0,0.583333,0,0.5,0,0,12,6500,1206.81188,99.372848,0.333333,12
C10122,1785.626943,1,0,0,0,576.206382,0,0,0,0.25,10,0,1800,687.691735,2439.136113,0,12
C10123,54.933231,0.272727,495,0,495,0,0.166667,0,0.166667,0,0,2,7000,1969.845566,147.049952,1,12
C10124,2662.629852,1,0,0,0,509.023801,0,0,0,0.333333,4,0,3000,932.418855,709.207016,0,12
C10125,8504.876253,1,6724.26,4100.08,2624.18,1686.599777,1,0.916667,1,0.5,10,85,17000,1888.756861,2167.446204,0,12
C10126,1464.324632,1,1174.39,1174.39,0,0,0.25,0.25,0,0,0,8,9000,0,,0,12
C10127,2114.158683,1,5580.85,0,5580.85,0,1,0,1,0,0,75,8500,3564.977774,630.00413,0,12
C10128,2876.396444,1,0,0,0,998.84867,0,0,0,0.166667,2,0,3200,1065.426905,1412.648089,0,12
C10130,14224.11541,1,0,0,0,4614.427403,0,0,0,0.333333,9,0,19000,3066.614272,3406.258999,0,12
C10131,2392.917738,1,12462.44,12462.44,0,0,0.916667,0.916667,0,0,0,217,2800,11628.71557,2000.990921,0,12
C10132,57.453201,0.75,0,0,0,272.713302,0,0,0,0.125,1,0,1200,385.853874,84.697292,0.166667,8
C10133,4245.855092,1,1957.3,1077.3,880,0,0.833333,0.166667,0.583333,0,0,19,5000,1004.35474,1086.428906,0,12
C10134,11167.23403,1,150.64,150.64,0,8362.154254,0.083333,0.083333,0,0.5,14,1,17000,2606.059389,2894.077159,0,12
C10135,69.405545,0.090909,0,0,0,2799.714934,0,0,0,0.083333,3,0,13000,0,,0,12
C10136,116.654149,0.272727,907,907,0,273.558033,0.25,0.25,0,0.083333,1,8,5000,0,,0,12
C10137,4637.848144,1,1271.12,351.54,919.58,0,0.833333,0.25,0.833333,0,0,33,5000,1906.032044,3572.279251,0,12
C10138,24.28497,0.636364,250.6,0,250.6,0,0.583333,0,0.5,0,0,7,3000,319.762903,173.632006,0,12
C10139,9354.06045,1,796.33,796.33,0,13748.47131,0.083333,0.083333,0,0.666667,16,1,13000,10664.65866,2600.875721,0.083333,12
C10140,231.108995,1,440,0,440,0,0.916667,0,0.916667,0,0,22,4000,554.116542,185.091037,0,12
C10141,1562.633343,1,1330.62,1169.63,160.99,0,0.5,0.166667,0.25,0,0,8,2000,1020.783647,709.610053,0,12
C10142,2494.868559,1,5491.79,1390.5,4101.29,0,1,0.5,1,0,0,52,17000,1015.311953,615.92402,0,12
C10143,706.132889,1,897.86,714.52,183.34,586.268966,0.916667,0.333333,0.916667,0.25,3,18,1200,972.358048,184.524376,0,12
C10144,19043.13856,1,22009.92,9449.07,12560.85,0,1,0.75,1,0,0,216,18000,23018.57583,18621.01331,0,12
C10145,2235.103331,1,720.6,720.6,0,723.308724,1,1,0,0.083333,1,12,2500,1061.292471,689.118919,0,12
C10146,947.13081,1,197.06,148.66,48.4,0,0.333333,0.25,0.166667,0,0,5,1000,492.200419,509.384182,0,12
C10147,764.042156,0.818182,0,0,0,1307.102516,0,0,0,0.166667,3,0,7500,1566.806897,172.959728,0,12
C10148,5347.814547,1,0,0,0,4002.353384,0,0,0,0.5,9,0,7000,0,,0,12
C10149,10598.46777,1,2084.48,1300.48,784,0,0.666667,0.416667,0.583333,0,0,13,21500,3219.621433,3068.125648,0,12
C10150,2163.678757,1,5779.36,3436.53,2342.83,0,1,1,1,0,0,97,6500,4416.41268,546.439139,0,12
C10151,3057.400553,1,1025,1025,0,0,0.083333,0.083333,0,0,0,2,7500,698.854095,819.682666,0,12
C10152,19.354559,0.909091,689.7,0,689.7,0,0.833333,0,0.833333,0,0,10,10000,746.691026,,0,12
C10153,264.811595,1,28.65,28.65,0,384.26178,0.083333,0.083333,0,0.083333,1,1,9000,1235.630069,194.324456,0.083333,12
C10154,1108.22253,0.909091,944.96,164.96,780,0,0.5,0.25,0.416667,0,0,9,1500,1955.198953,992.652486,0,12
C10155,906.573724,1,1039.2,80,959.2,103.102091,0.833333,0.083333,0.833333,0.083333,1,11,13500,1855.235407,468.196732,0.083333,12
C10156,7679.62904,1,4059.93,0,4059.93,555.469352,0.583333,0,0.5,0.166667,7,14,7000,3685.61062,12854.9397,0,12
C10157,1523.911458,1,4075.37,3322.28,753.09,0,1,1,1,0,0,31,6500,2254.26002,329.29648,0,12
C10158,49.206256,1,870.24,0,870.24,0,1,0,1,0,0,24,8000,835.839952,193.011166,1,12
C10159,13673.07961,1,9792.23,3959.81,5832.42,2444.445738,1,0.75,1,0.75,26,216,20000,11717.30794,6042.391629,0,12
C10160,106.455975,0.636364,2463.12,789.53,1673.59,0,1,0.5,1,0,0,46,4000,2573.722764,95.342224,0.636364,12
C10161,119.760904,0.363636,1859.34,0,1859.34,0,0.333333,0,0.25,0,0,4,20000,3104.275623,288.903628,0.25,12
C10162,5837.105453,1,3488.49,3262.25,226.24,3303.1523,1,1,0.5,0.75,15,46,7900,0,,0,12
C10163,1734.510004,1,0,0,0,66.275851,0,0,0,0.166667,2,0,1800,363.474455,2827.997525,0,12
C10164,2765.748281,1,7283.31,5087.31,2196,0,1,1,0.666667,0,0,77,11000,14373.3929,1058.128452,0.25,12
C10165,1046.37041,1,295,295,0,93.579809,0.083333,0.083333,0,0.083333,1,2,1200,439.407082,362.838185,0,12
C10166,2737.367678,1,0,0,0,429.691164,0,0,0,0.416667,5,0,3000,778.827993,721.798576,0,12
C10167,4014.818167,1,0,0,0,988.356213,0,0,0,0.083333,1,0,8500,1009.185035,1177.149934,0,12
C10168,871.568977,1,648.22,115,533.22,0,1,0.083333,1,0,0,27,1200,1110.886425,208.298424,0,12
C10169,1610.040203,1,557.19,525.64,31.55,0,0.25,0.083333,0.166667,0,0,5,4000,422.711848,616.005839,0,12
C10170,114.593817,1,469.98,0,469.98,0,1,0,0.833333,0,0,6,1000,367.109312,86.102479,0.5,6
C10171,5800.587339,1,0,0,0,369.950794,0,0,0,0.083333,1,0,6500,1346.365584,1972.526015,0,12
C10172,823.103926,0.363636,131.64,0,131.64,0,1,0,1,0,0,12,8000,2916.071564,243.199498,0,12
C10173,595.677343,1,5078.14,4330.53,747.61,1424.442602,0.916667,0.666667,0.75,0.083333,1,42,15000,4756.654374,241.894073,0.916667,12
C10174,1128.124563,1,924.6,0,924.6,0,1,0,1,0,0,12,1000,1202.711782,1747.037345,0,12
C10175,349.441102,1,1975.4,1393.5,581.9,0,0.666667,0.416667,0.333333,0,0,17,4000,1795.012223,167.219681,0,12
C10176,840.804076,0.666667,0,0,0,3671.777443,0,0,0,0.222222,5,0,4000,3621.266477,193.171404,0,9
C10177,975.942008,1,10221.35,7141.38,3079.97,1620.685551,1,1,0.833333,0.583333,18,130,10500,10693.49585,347.641073,0.75,12
C10178,23.111088,0.363636,300,0,300,0,0.25,0,0.166667,0,0,3,12500,291.948834,43.452683,0.181818,12
C10179,2187.732265,0.857143,0,0,0,3905.326256,0,0,0,0.285714,9,0,3000,1423.788603,461.365626,0.2,7
C10180,11972.01104,1,5715,4685.54,1029.46,1626.351366,1,1,1,0.166667,3,90,14000,4639.513745,3192.306018,0,12
C10181,1608.451822,1,0,0,0,205.737165,0,0,0,0.166667,2,0,1800,470.565984,408.799147,0,12
C10182,1872.926275,1,766.61,766.61,0,1017.120578,0.833333,0.833333,0,0.25,5,12,2300,0,,0,12
C10183,2933.240476,1,0,0,0,2040.433925,0,0,0,0.583333,13,0,3000,2431.578544,1739.74883,0,12
C10184,336.799916,1,3535.8,1614.7,1921.1,0,1,0.416667,0.916667,0,0,44,20000,2814.231227,186.230835,1,12
C10185,36.236312,0.454545,256.11,0,256.11,0,0.416667,0,0.416667,0,0,5,5300,831.375322,189.036967,0.166667,12
C10186,903.29781,1,2697.48,150.5,2546.98,0,1,0.333333,1,0,0,39,2500,1686.196344,303.361632,0,12
C10187,0,0,23,0,23,0,0.083333,0,0.083333,0,0,1,5000,0,,0,12
C10188,2881.253586,1,117,0,117,17661.49486,0.25,0,0.166667,0.75,28,3,4500,17301.83238,931.618475,0.166667,12
C10189,5.465999,0.090909,196.81,173,23.81,0,0.083333,0.083333,0.083333,0,0,3,12000,0,,0,12
C10190,117.442684,1,653.73,493,160.73,0,0.666667,0.416667,0.416667,0,0,15,10000,441.588141,136.827952,0,12
C10191,168.522709,0.818182,2009.05,0,2009.05,0,0.833333,0,0.75,0,0,22,1200,2612.760497,197.638558,0.142857,12
C10192,1706.014379,1,147.78,0,147.78,1657.090283,0.166667,0,0.166667,0.25,4,2,6000,1186.062765,374.595505,0,12
C10193,874.583247,1,516.54,159.07,357.47,0,1,0.333333,0.916667,0,0,30,900,579.749308,693.894717,0,12
C10194,861.001207,1,969.56,969.56,0,446.233197,0.416667,0.416667,0,0.083333,1,6,2400,0,,0,12
C10196,966.251742,1,311.45,311.45,0,955.959749,0.333333,0.333333,0,0.083333,1,15,1500,277.522439,286.299328,0,12
C10197,38.615644,0.727273,280.4,280.4,0,0,0.25,0.25,0,0,0,3,6150,254.392984,55.79974,0.090909,12
C10198,189.687964,1,66.14,66.14,0,0,0.083333,0.083333,0,0,0,2,6000,0,,0,12
C10199,40.417255,0.363636,79.2,79.2,0,1631.576375,0.083333,0.083333,0,0.083333,1,1,4000,1647.880773,24.815878,0.083333,12
C10200,5462.897068,1,1453.32,0,1453.32,0,0.5,0,0.5,0,0,18,16500,1382.269127,1755.253802,0,12

